id;invoice_number;company_invoice_number;gst;total;status
1;Texas Focused;Table;5801;89234;DONE
2;Down-sized connect;haptic 1080p;58419;76728;DONE
3;SQL;Frozen Berkshire reciprocal;58135;90663;PENDING
4;Soap Incredible;sticky program 1080p;25244;36763;PENDING
5;Division Rand;Account;74564;84021;DONE
6;EXE Director open;Cambridgeshire function Armenian;85471;6085;DONE
7;black Maine;structure;44341;34241;DONE
8;hub;matrix SDD;4423;55646;DONE
9;analyzer Agent;interactive deposit Electronics;80897;81535;PENDING
10;transitional;Colorado;62169;77083;PENDING
