id;yard;vehicle_number;loading_time
1;Frozen Grenada;Product Towels SQL;2023-04-27T00:52:43
2;Dakota Customizable;Tennessee Synchronised plum;2023-04-26T18:59:41
3;port;indigo;2023-04-26T16:41:14
4;Dollar programming;Bosnia portals;2023-04-27T10:05:41
5;Malta back Cotton;Borders out-of-the-box driver;2023-04-27T04:19:04
6;Democratic;Frozen Buckinghamshire Right-sized;2023-04-27T02:35:48
7;Frozen Bacon;Awesome optical Internal;2023-04-26T18:17:53
8;withdrawal;Ohio;2023-04-27T08:01:03
9;District Customizable;Savings SQL Avon;2023-04-27T04:48:44
10;exuding engine;Consultant AGP;2023-04-26T17:35:14
